Company_ID,Industry_Type,Date,Energy_Demand_MWh,Fuel_Type,Emission_Produced_tCO2,Emission_Allowance_tCO2,Carbon_Price_USD_per_t,Transaction_Type,Credits_Traded_tCO2,Verification_Status,Compliance_Cost_USD,Optimization_Scenario,Carbon_Cost_Savings_USD,Target_Trade_Action
C062,Steel,2024-06-07,1444.72,Mixed Fuel,761.54,601.54,22.25,Buy,94,Disputed,8497.76,Price_Surge,541.97,1
C084,Energy,2024-07-18,1933.84,Renewable,1353.1,1439.1,33.7,Buy,63,Disputed,8862.97,Price_Surge,2833.26,1
C077,Cement,2024-04-24,633.77,Natural Gas,234.17,267.16999999999996,30.58,Sell,181,Disputed,19270.7,High_Demand,1858.7,0
C017,Cement,2025-07-16,1253.59,Coal,789.5,637.5,24.14,Buy,195,Disputed,12566.99,High_Demand,2971.79,1
C025,Cement,2025-07-11,1073.97,Renewable,329.26,440.26,23.67,Buy,188,Verified,13640.22,Price_Surge,1594.75,1
C097,Manufacturing,2024-01-16,2622.58,Renewable,864.59,677.59,21.79,Sell,46,Verified,16167.88,Low_Demand,1038.83,0
C055,Energy,2024-08-14,1014.05,Mixed Fuel,431.76,303.76,32.12,Sell,81,Disputed,7673.93,High_Demand,1520.21,0
C012,Energy,2024-01-13,686.06,Renewable,538.85,357.85,27.55,Buy,108,Verified,11049.55,High_Demand,1407.54,1
C056,Manufacturing,2025-08-18,1678.26,Natural Gas,908.42,821.42,26.46,Buy,196,Disputed,13175.23,Low_Demand,629.14,1
C035,Steel,2025-08-15,2647.25,Natural Gas,1552.47,1667.47,27.61,Buy,198,Disputed,5499.61,Low_Demand,1231.61,1
C058,Cement,2024-11-16,2076.72,Natural Gas,1497.22,1411.22,31.01,Sell,186,Disputed,14242.85,Price_Surge,2553.54,0
C070,Manufacturing,2025-03-31,582.16,Mixed Fuel,358.67,391.67,23.18,Sell,38,Disputed,15362.96,High_Demand,2681.46,0
C027,Energy,2025-10-30,1199.75,Mixed Fuel,517.11,622.11,21.17,Buy,176,Disputed,16766.91,Price_Surge,569.09,1
C013,Cement,2024-09-10,2364.79,Coal,1855.86,1822.86,24.41,Buy,73,Verified,11429.56,Low_Demand,1733.5,1
C092,Steel,2025-10-25,650.8,Mixed Fuel,238.54,183.54,23.49,Sell,185,Verified,13584.37,Low_Demand,937.16,0
